update_number,sigma,new_entry_point,window_mean,threshold
0,8.0,550495,9682.585407714843,9591.027806825638
0,10.0,550495,20565.219157714844,9591.027806825638
0,12.0,550495,22482.031279296876,9591.027806825638
0,16.0,550495,27269.6515234375,9591.027806825638
0,0.0,1876860,15751.137390136719,9591.027806825638
0,1.0,3076808,15442.29603515625,9591.027806825638
0,2.0,4066499,15211.594052734376,9591.027806825638
0,3.0,4066499,13471.419143066407,9591.027806825638
0,4.0,4066499,13293.399423828125,9591.027806825638
0,6.0,4110202,13175.85833984375,9591.027806825638
