condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,per_query_recall_std,queries_per_second,recall_at_k,repair_happened,schedule,top_n
static,False,32,0,0.0,0.11323278397321701,0.0,0,0.1465620687626918,8831.364600525325,0.9634000000000001,False,gradual,1000
static,False,64,0,0.0,0.18097268207930028,0.0,0,0.11301964431018176,5525.695859233665,0.9784,False,gradual,1000
static,False,128,0,0.0,0.31010239385068417,0.0,0,0.06328696548263316,3224.7413107088264,0.9926,False,gradual,1000
static,False,32,1,0.0,0.11294154799543321,0.0,0,0.1705608395851756,8854.1375406014,0.957,False,gradual,1000
static,False,64,1,0.0,0.18566124606877565,0.0,0,0.10660037523386114,5386.153659819583,0.9806000000000001,False,gradual,1000
static,False,128,1,0.0,0.32605100399814546,0.0,0,0.07005826146858059,3067.0048174600556,0.9927999999999999,False,gradual,1000
static,False,32,2,0.0,0.11248367000371218,0.0,0,0.15483978816828703,8890.179347517716,0.9592,False,gradual,1000
static,False,64,2,0.0,0.18342438200488687,0.0,0,0.10257699547169434,5451.837913093569,0.9785999999999999,False,gradual,1000
static,False,128,2,0.0,0.3167845020070672,0.0,0,0.07146775496683802,3156.7200846766514,0.9894,False,gradual,1000
static,False,32,3,0.0,0.11248338990844786,0.0,0,0.1719767426136453,8890.201484982956,0.9520000000000001,False,gradual,1000
static,False,64,3,0.0,0.18239003606140614,0.0,0,0.11837888325203949,5482.755646055825,0.9762000000000001,False,gradual,1000
static,False,128,3,0.0,0.31208084989339113,0.0,0,0.10235995310667154,3204.297861729121,0.9838,False,gradual,1000
static,False,32,4,0.0,0.1122856019064784,0.0,0,0.16155197306130306,8905.861330581729,0.9564,False,gradual,1000
static,False,64,4,0.0,0.18256729189306498,0.0,0,0.10359517363275182,5477.432401121058,0.9798000000000001,False,gradual,1000
static,False,128,4,0.0,0.313170928042382,0.0,0,0.08968834929911466,3193.144415578282,0.986,False,gradual,1000
static,False,32,5,0.0,0.11632702010683715,0.0,0,0.17792976142287156,8596.45505473775,0.949,False,gradual,1000
static,False,64,5,0.0,0.19059495395049453,0.0,0,0.12206621154111405,5246.728621470964,0.9728000000000001,False,gradual,1000
static,False,128,5,0.0,0.32818757998757064,0.0,0,0.07749993548384412,3047.037916663003,0.9875999999999999,False,gradual,1000
static,False,32,6,0.0,0.11560975410975516,0.0,0,0.1856511782887467,8649.789178261213,0.9442,False,gradual,1000
static,False,64,6,0.0,0.1864437460899353,0.0,0,0.15565847230395138,5363.5480994767595,0.9638,False,gradual,1000
static,False,128,6,0.0,0.3220475800335407,0.0,0,0.11743662120480136,3105.1312352536593,0.9808000000000001,False,gradual,1000
static,False,32,7,0.0,0.12054723012261093,0.0,0,0.19289987039912704,8295.50375386378,0.9342,False,gradual,1000
static,False,64,7,0.0,0.19553061807528138,0.0,0,0.1595247943111039,5114.288543879043,0.9572,False,gradual,1000
static,False,128,7,0.0,0.3354414061177522,0.0,0,0.12878136511157195,2981.1465780970507,0.9743999999999999,False,gradual,1000
static,False,32,8,0.0,0.12377304793335497,0.0,0,0.19600765291181874,8079.303343474626,0.931,False,gradual,1000
static,False,64,8,0.0,0.19383501820266247,0.0,0,0.16962016389568782,5159.026523032381,0.953,False,gradual,1000
static,False,128,8,0.0,0.3346674279309809,0.0,0,0.15190457530963314,2988.0410118854825,0.965,False,gradual,1000
static,False,32,9,0.0,0.12168843392282724,0.0,0,0.21793540327353889,8217.707860668033,0.9196,False,gradual,1000
static,False,64,9,0.0,0.1981052360497415,0.0,0,0.1579944302815767,5047.822157254409,0.9575999999999999,False,gradual,1000
static,False,128,9,0.0,0.33926505991257727,0.0,0,0.1256374148094428,2947.54785611487,0.9718,False,gradual,1000
static,False,32,10,0.0,0.11837266199290752,0.0,0,0.21748333269471481,8447.896525803539,0.919,False,gradual,1000
static,False,64,10,0.0,0.19177303207106888,0.0,0,0.18320032751062426,5214.497519283167,0.9458,False,gradual,1000
static,False,128,10,0.0,0.3301538839004934,0.0,0,0.15569341668805395,3028.8906136309292,0.9633999999999999,False,gradual,1000
