condition,epoch,ef,recall,edge_count,n_escalated
static,20,64,0.8622000000000001,0,0
static,20,128,0.9346,0,0
static,21,32,0.7844000000000001,0,0
static,21,64,0.8694,0,0
static,21,128,0.9328,0,0
static,22,32,0.7686000000000001,0,0
static,22,64,0.8806000000000002,0,0
static,22,128,0.941,0,0
static,23,32,0.7994000000000001,0,0
static,23,64,0.8912,0,0
static,23,128,0.9474000000000001,0,0
static,24,32,0.781,0,0
static,24,64,0.8836,0,0
static,24,128,0.9406,0,0
adaptive_eh,0,32,0.8986000000000002,0,0
adaptive_eh,0,64,0.9526000000000001,0,0
adaptive_eh,0,128,0.977,0,0
adaptive_eh,1,32,0.906,0,0
adaptive_eh,1,64,0.9542,0,0
adaptive_eh,1,128,0.981,0,0
adaptive_eh,2,32,0.9102,0,0
adaptive_eh,2,64,0.958,0,0
adaptive_eh,2,128,0.9822000000000001,0,0
adaptive_eh,3,32,0.8986000000000002,0,0
adaptive_eh,3,64,0.951,0,0
adaptive_eh,3,128,0.9774,0,0
adaptive_eh,4,32,0.9044,0,0
adaptive_eh,4,64,0.9526000000000001,0,0
adaptive_eh,4,128,0.978,0,0
adaptive_eh,5,32,0.8922,0,0
adaptive_eh,5,64,0.9496,0,0
adaptive_eh,5,128,0.9758,0,0
adaptive_eh,6,32,0.8764,20812,0
adaptive_eh,6,64,0.9364,20812,0
adaptive_eh,6,128,0.9692000000000001,20812,0
adaptive_eh,7,32,0.8534,37132,0
adaptive_eh,7,64,0.9264000000000001,37132,0
adaptive_eh,7,128,0.9648,37132,0
adaptive_eh,8,32,0.8572000000000001,46507,0
adaptive_eh,8,64,0.9338000000000001,46507,0
adaptive_eh,8,128,0.9712000000000001,46507,0
adaptive_eh,9,32,0.83,53992,0
adaptive_eh,9,64,0.9096,53992,0
adaptive_eh,9,128,0.9522,53992,0
adaptive_eh,10,32,0.8346000000000001,60531,0
adaptive_eh,10,64,0.9116000000000002,60531,0
adaptive_eh,10,128,0.958,60531,0
adaptive_eh,11,32,0.845,66069,0
adaptive_eh,11,64,0.92,66069,0
adaptive_eh,11,128,0.963,66069,0
adaptive_eh,12,32,0.8512000000000001,72726,0
adaptive_eh,12,64,0.9126000000000002,72726,0
adaptive_eh,12,128,0.958,72726,0
adaptive_eh,13,32,0.8342,77458,0
adaptive_eh,13,64,0.9096000000000001,77458,0
adaptive_eh,13,128,0.9528000000000001,77458,0
adaptive_eh,14,32,0.8368,77458,0
adaptive_eh,14,64,0.912,77458,0
adaptive_eh,14,128,0.9588,77458,0
adaptive_eh,15,32,0.8282,77458,0
adaptive_eh,15,64,0.9136000000000002,77458,0
adaptive_eh,15,128,0.9586000000000001,77458,0
adaptive_eh,16,32,0.8096000000000001,91696,0
adaptive_eh,16,64,0.8962,91696,0
adaptive_eh,16,128,0.9486000000000001,91696,0
adaptive_eh,17,32,0.7874,103472,0
adaptive_eh,17,64,0.8864,103472,0
adaptive_eh,17,128,0.946,103472,0
adaptive_eh,18,32,0.7777999999999999,113349,0
adaptive_eh,18,64,0.878,113349,0
adaptive_eh,18,128,0.9372,113349,0
adaptive_eh,19,32,0.7856000000000002,119948,0
adaptive_eh,19,64,0.8797999999999999,119948,0
adaptive_eh,19,128,0.9388,119948,0
adaptive_eh,20,32,0.7742,129585,0
adaptive_eh,20,64,0.8674000000000001,129585,0
adaptive_eh,20,128,0.9358,129585,0
adaptive_eh,21,32,0.7956,139516,0
adaptive_eh,21,64,0.8756,139516,0
adaptive_eh,21,128,0.9344,139516,0
adaptive_eh,22,32,0.7797999999999999,147399,0
adaptive_eh,22,64,0.885,147399,0
adaptive_eh,22,128,0.9426000000000001,147399,0
adaptive_eh,23,32,0.8126,105774,0
adaptive_eh,23,64,0.8952,105774,0
adaptive_eh,23,128,0.9482,105774,0
adaptive_eh,24,32,0.79,105774,0
adaptive_eh,24,64,0.8868,105774,0
adaptive_eh,24,128,0.9418,105774,0
ef_escalation_2x,0,32,0.9308,0,137
ef_escalation_2x,0,64,0.9698,0,148
ef_escalation_2x,0,128,0.9886,0,152
ef_escalation_2x,1,32,0.9314000000000001,0,120
ef_escalation_2x,1,64,0.9694,0,131
ef_escalation_2x,1,128,0.9888000000000001,0,135
ef_escalation_2x,2,32,0.9376,0,114
ef_escalation_2x,2,64,0.9742000000000001,0,122
ef_escalation_2x,2,128,0.99,0,124
ef_escalation_2x,3,32,0.9262,0,133
ef_escalation_2x,3,64,0.9706,0,138
ef_escalation_2x,3,128,0.9867999999999999,0,140
ef_escalation_2x,4,32,0.9286000000000001,0,121
ef_escalation_2x,4,64,0.9686,0,127
ef_escalation_2x,4,128,0.9864,0,128
ef_escalation_2x,5,32,0.918,0,126
ef_escalation_2x,5,64,0.968,0,137
ef_escalation_2x,5,128,0.9886000000000001,0,139
ef_escalation_2x,6,32,0.9076000000000002,0,144
ef_escalation_2x,6,64,0.9592,0,146
ef_escalation_2x,6,128,0.9806,0,151
ef_escalation_2x,7,32,0.8868,0,140
ef_escalation_2x,7,64,0.946,0,146
ef_escalation_2x,7,128,0.978,0,152
ef_escalation_2x,8,32,0.8906000000000001,0,145
ef_escalation_2x,8,64,0.9556,0,151
ef_escalation_2x,8,128,0.9808000000000001,0,153
ef_escalation_2x,9,32,0.8617999999999999,0,148
ef_escalation_2x,9,64,0.9358000000000001,0,155
ef_escalation_2x,9,128,0.9694,0,159
ef_escalation_2x,10,32,0.8644000000000001,0,154
ef_escalation_2x,10,64,0.9328000000000001,0,157
ef_escalation_2x,10,128,0.9734,0,161
ef_escalation_2x,11,32,0.8788,0,155
ef_escalation_2x,11,64,0.9462,0,164
ef_escalation_2x,11,128,0.978,0,167
ef_escalation_2x,12,32,0.878,0,161
ef_escalation_2x,12,64,0.9382,0,167
ef_escalation_2x,12,128,0.9764,0,170
ef_escalation_2x,13,32,0.8672000000000001,0,157
ef_escalation_2x,13,64,0.935,0,165
ef_escalation_2x,13,128,0.9698000000000001,0,165
ef_escalation_2x,14,32,0.8696,0,160
ef_escalation_2x,14,64,0.9386,0,166
ef_escalation_2x,14,128,0.9762000000000001,0,166
ef_escalation_2x,15,32,0.8652000000000001,0,169
ef_escalation_2x,15,64,0.938,0,176
ef_escalation_2x,15,128,0.973,0,178
ef_escalation_2x,16,32,0.848,0,198
ef_escalation_2x,16,64,0.929,0,206
ef_escalation_2x,16,128,0.969,0,211
ef_escalation_2x,17,32,0.8312,0,192
ef_escalation_2x,17,64,0.9208,0,199
ef_escalation_2x,17,128,0.9678000000000001,0,205
ef_escalation_2x,18,32,0.8182,0,188
ef_escalation_2x,18,64,0.9102,0,199
ef_escalation_2x,18,128,0.9602,0,202
ef_escalation_2x,19,32,0.8214000000000001,0,191
ef_escalation_2x,19,64,0.9114000000000001,0,195
ef_escalation_2x,19,128,0.9634000000000001,0,201
ef_escalation_2x,20,32,0.8076,0,170
ef_escalation_2x,20,64,0.9006000000000001,0,184
ef_escalation_2x,20,128,0.959,0,196
ef_escalation_2x,21,32,0.8238000000000001,0,198
ef_escalation_2x,21,64,0.9056000000000002,0,210
ef_escalation_2x,21,128,0.9598000000000001,0,215
ef_escalation_2x,22,32,0.8222,0,195
ef_escalation_2x,22,64,0.916,0,205
ef_escalation_2x,22,128,0.9608000000000001,0,209
ef_escalation_2x,23,32,0.8418000000000001,0,182
ef_escalation_2x,23,64,0.9234000000000001,0,185
ef_escalation_2x,23,128,0.9674,0,195
ef_escalation_2x,24,32,0.8282,0,193
ef_escalation_2x,24,64,0.917,0,201
ef_escalation_2x,24,128,0.9642000000000001,0,202
ef_escalation_4x,0,32,0.9486,0,137
ef_escalation_4x,0,64,0.9805999999999999,0,148
ef_escalation_4x,0,128,0.9927999999999999,0,152
ef_escalation_4x,1,32,0.9468000000000001,0,120
ef_escalation_4x,1,64,0.9766,0,131
ef_escalation_4x,1,128,0.992,0,135
ef_escalation_4x,2,32,0.9538,0,114
ef_escalation_4x,2,64,0.9818,0,122
ef_escalation_4x,2,128,0.9954,0,124
ef_escalation_4x,3,32,0.9456,0,133
ef_escalation_4x,3,64,0.98,0,138
ef_escalation_4x,3,128,0.9934000000000001,0,140
ef_escalation_4x,4,32,0.9442,0,121
ef_escalation_4x,4,64,0.9762000000000001,0,127
ef_escalation_4x,4,128,0.9914000000000001,0,128
ef_escalation_4x,5,32,0.9352,0,126
ef_escalation_4x,5,64,0.9808,0,137
ef_escalation_4x,5,128,0.9942000000000001,0,139
ef_escalation_4x,6,32,0.9312,0,144
ef_escalation_4x,6,64,0.9706,0,146
ef_escalation_4x,6,128,0.9880000000000001,0,151
ef_escalation_4x,7,32,0.907,0,140
ef_escalation_4x,7,64,0.9574000000000001,0,146
ef_escalation_4x,7,128,0.9833999999999999,0,152
ef_escalation_4x,8,32,0.9134000000000001,0,145
ef_escalation_4x,8,64,0.9658000000000001,0,151
ef_escalation_4x,8,128,0.9868000000000001,0,153
ef_escalation_4x,9,32,0.887,0,148
ef_escalation_4x,9,64,0.9526,0,155
ef_escalation_4x,9,128,0.9776,0,159
ef_escalation_4x,10,32,0.8882000000000001,0,154
ef_escalation_4x,10,64,0.9482,0,157
ef_escalation_4x,10,128,0.9794,0,161
ef_escalation_4x,11,32,0.9038,0,155
ef_escalation_4x,11,64,0.9612,0,164
ef_escalation_4x,11,128,0.9852000000000001,0,167
ef_escalation_4x,12,32,0.9052,0,161
ef_escalation_4x,12,64,0.9554000000000001,0,167
ef_escalation_4x,12,128,0.9852000000000001,0,170
ef_escalation_4x,13,32,0.8972,0,157
ef_escalation_4x,13,64,0.9546,0,165
ef_escalation_4x,13,128,0.9820000000000001,0,165
ef_escalation_4x,14,32,0.8987999999999999,0,160
ef_escalation_4x,14,64,0.9568,0,166
ef_escalation_4x,14,128,0.985,0,166
ef_escalation_4x,15,32,0.89,0,169
ef_escalation_4x,15,64,0.9532,0,176
ef_escalation_4x,15,128,0.9818000000000001,0,178
ef_escalation_4x,16,32,0.8828,0,198
ef_escalation_4x,16,64,0.95,0,206
ef_escalation_4x,16,128,0.9788000000000001,0,211
ef_escalation_4x,17,32,0.869,0,192
ef_escalation_4x,17,64,0.9432,0,199
ef_escalation_4x,17,128,0.976,0,205
ef_escalation_4x,18,32,0.8548000000000001,0,188
ef_escalation_4x,18,64,0.9336,0,199
ef_escalation_4x,18,128,0.9728000000000001,0,202
ef_escalation_4x,19,32,0.8564,0,191
ef_escalation_4x,19,64,0.9362,0,195
ef_escalation_4x,19,128,0.9732000000000001,0,201
ef_escalation_4x,20,32,0.8424,0,170
ef_escalation_4x,20,64,0.9238000000000001,0,184
ef_escalation_4x,20,128,0.9706,0,196
ef_escalation_4x,21,32,0.8594,0,198
ef_escalation_4x,21,64,0.9318,0,210
ef_escalation_4x,21,128,0.97,0,215
ef_escalation_4x,22,32,0.8558,0,195
ef_escalation_4x,22,64,0.9356,0,205
ef_escalation_4x,22,128,0.972,0,209
ef_escalation_4x,23,32,0.8748,0,182
ef_escalation_4x,23,64,0.9426,0,185
ef_escalation_4x,23,128,0.9782000000000001,0,195
ef_escalation_4x,24,32,0.8608000000000001,0,193
ef_escalation_4x,24,64,0.94,0,201
ef_escalation_4x,24,128,0.9746,0,202
oracle_ef128,0,128,0.977,0,500
oracle_ef128,1,128,0.981,0,500
oracle_ef128,2,128,0.9822000000000001,0,500
oracle_ef128,3,128,0.9774,0,500
oracle_ef128,4,128,0.978,0,500
oracle_ef128,5,128,0.9758,0,500
oracle_ef128,6,128,0.9692000000000001,0,500
oracle_ef128,7,128,0.9648,0,500
oracle_ef128,8,128,0.9708000000000001,0,500
oracle_ef128,9,128,0.9520000000000001,0,500
oracle_ef128,10,128,0.9574000000000001,0,500
oracle_ef128,11,128,0.9624000000000001,0,500
oracle_ef128,12,128,0.9574,0,500
oracle_ef128,13,128,0.9502,0,500
oracle_ef128,14,128,0.9576000000000001,0,500
oracle_ef128,15,128,0.9574000000000001,0,500
oracle_ef128,16,128,0.947,0,500
oracle_ef128,17,128,0.9448000000000001,0,500
oracle_ef128,18,128,0.936,0,500
oracle_ef128,19,128,0.9376000000000001,0,500
oracle_ef128,20,128,0.9346,0,500
oracle_ef128,21,128,0.9328,0,500
oracle_ef128,22,128,0.941,0,500
oracle_ef128,23,128,0.9474000000000001,0,500
oracle_ef128,24,128,0.9406,0,500
